    Hinst Name                                                                                                    Module Name                                      Inst Count           Total Area
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/dpu_gen/U_scaler/mult_254                                         scaler_13_DW_mult_tc_3_DW_mult_tc_47                    119               92.585
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/dpu_gen/U_scaler/r427                                             scaler_13_DW_mult_tc_1_DW_mult_tc_23                    174              126.797
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/dpu_gen/U_scaler/r428                                             scaler_13_DW_mult_tc_4_DW_mult_tc_71                     61               42.998
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/dpu_gen/U_scaler/r429                                             scaler_13_DW_mult_tc_0_DW_mult_tc_7                     147               92.785
    Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top                                                             register_file_top_13                                  11732             6658.196
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_0_instantiate                                       AGU_50                                                  502              336.195
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_0_instantiate/add_194                              AGU_50_DW01_add_1_DW01_add_425                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_0_instantiate/add_207                              AGU_50_DW01_add_0_DW01_add_424                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_0_instantiate/sub_209                              AGU_50_DW01_sub_0_DW01_sub_122                           13                9.518
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_1_instantiate                                       AGU_49                                                  502              336.128
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_1_instantiate/add_194                              AGU_49_DW01_add_1_DW01_add_423                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_1_instantiate/add_207                              AGU_49_DW01_add_0_DW01_add_422                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_1_instantiate/sub_209                              AGU_49_DW01_sub_0_DW01_sub_121                           13                9.518
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Rd_Dimarch_instantiate                                 AGU_RFblock_25                                          404              254.592
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_0_instantiate                                       AGU_52                                                  502              336.128
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_0_instantiate/add_194                              AGU_52_DW01_add_1_DW01_add_429                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_0_instantiate/add_207                              AGU_52_DW01_add_0_DW01_add_428                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_0_instantiate/sub_209                              AGU_52_DW01_sub_0_DW01_sub_124                           13                9.518
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_1_instantiate                                       AGU_51                                                  502              336.128
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_1_instantiate/add_194                              AGU_51_DW01_add_1_DW01_add_427                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_1_instantiate/add_207                              AGU_51_DW01_add_0_DW01_add_426                            7                8.719
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_1_instantiate/sub_209                              AGU_51_DW01_sub_0_DW01_sub_123                           13                9.518
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/AGU_Wr_Dimarch_instantiate                                 AGU_RFblock_26                                          403              254.592
     Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile                                               register_file_13                                       7302             3926.441
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_0                             register_row_832                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_1                             register_row_831                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_10                            register_row_822                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_11                            register_row_821                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_12                            register_row_820                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_13                            register_row_819                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_14                            register_row_818                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_15                            register_row_817                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_16                            register_row_816                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_17                            register_row_815                                         50               35.410
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_18                            register_row_814                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_19                            register_row_813                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_2                             register_row_830                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_20                            register_row_812                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_21                            register_row_811                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_22                            register_row_810                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_23                            register_row_809                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_24                            register_row_808                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_25                            register_row_807                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_26                            register_row_806                                         49               35.277
      Silago_bot_inst_1_1/SILEGO_cell/MTRF_cell/reg_top/RegisterFile/register_array_27                            register_row_805                                         49               35.277
